45,How do I know if I'm drinking too much?,"It's hard to tell if you drink too much because everyone's different.  Generally, it's a problem if it negatively affects your life or others'. Consider how much you drink, how often, why you drink, and the situation."
46,"If cannabis is dangerous, why are we legalizing it?","Cannabis smoke has risks, but likely less than tobacco. Legalization allows for regulations to ensure quality and minimize harms from unknown substances. This opens opportunities for open discussions about cannabis use.."
47,How can I convince my kids not to use drugs?,"You can't prevent drug use, but you can empower your child to make good choices. Talk openly about drugs, encourage self-reflection, and build a strong relationship where they feel comfortable discussing anything. This helps them develop critical thinking skills to avoid risky behavior. Conversations can start naturally in everyday situations. Even young adults need guidance, so keep talking as they navigate independence.."
48,What is the legal status (and evidence) of CBD oil?,"CBD, a natural cannabis component, is non-psychoactive (unlike THC) and shows promise for treating various medical conditions. Research suggests CBD may help with chronic pain, epilepsy, and Alzheimer's disease. While generally safe, it's important to monitor use and consult a doctor with any questions."
49,What is the evidence on vaping?,"Vaping is inhaling flavored vapor from a device. It's seen as less harmful than smoking, but can still have risks. Long-term effects are unknown and marketing targets youth. Use vaping products sparingly and with caution."
50,What is your name ?,You can call me JEXI
51,What is your name ?,I am JEXI your mental health companion
52,What is your name ?,"I've had so many names over the centuries, I've lost count. Let's just stick with 'Captain JEXI' for now"
53,How are you ?,I am doing great
54,How are you ?,I'm fine thanks for asking
